ID Number ,Long Name ,Tank #,Treatment,Date,Time
,MOBEAST_T3_C_2024-06-04_12:00,T3,C,6/4/2024,12:00
,MOBEAST_T4_A_2024-06-04_12:00,T4,A,6/4/2024,12:00
,MOBEAST_T5_R_2024-06-04_12:00,T5,R,6/4/2024,12:00
,MOBEAST_T6_K_2024-06-04_12:00,T6,K,6/4/2024,12:00
,MOBEAST_T7_K_2024-06-04_12:00,T7,K,6/4/2024,12:00
,MOBEAST_T8_C_2024-06-04_12:00,T8,C,6/4/2024,12:00
,MOBEAST_T9_K_2024-06-04_12:00,T9,K,6/4/2024,12:00
,MOBEAST_T10_R_2024-06-04_12:00,T10,R,6/4/2024,12:00
,MOBEAST_T11_C_2024-06-04_12:00,T11,C,6/4/2024,12:00
,MOBEAST_T12_R_2024-06-04_12:00,T12,R,6/4/2024,12:00
,MOBEAST_T13_A_2024-06-04_12:00,T13,A,6/4/2024,12:00
,MOBEAST_T14_A_2024-06-04_12:00,T14,A,6/4/2024,12:00
,MOBEAST_T15_C_2024-06-04_12:00,T15,C,6/4/2024,12:00
,MOBEAST_T16_K_2024-06-04_12:00,T16,K,6/4/2024,12:00
,MOBEAST_F1_Inflow_2024-06-06_12:00,F1,Inflow,6/6/2024,12:00
,MOBEAST_F2_Inflow_2024-06-06_12:00,F2,Inflow,6/6/2024,12:00
,MOBEAST_T1_A_2024-06-06_12:00,T1,A,6/6/2024,12:00
,MOBEAST_T2_R_2024-06-06_12:00,T2,R,6/6/2024,12:00
,MOBEAST_T3_C_2024-06-06_12:00,T3,C,6/6/2024,12:00
,MOBEAST_T4_A_2024-06-06_12:00,T4,A,6/6/2024,12:00
,MOBEAST_T5_R_2024-06-06_12:00,T5,R,6/6/2024,12:00
,MOBEAST_T6_K_2024-06-06_12:00,T6,K,6/6/2024,12:00
,MOBEAST_T7_K_2024-06-06_12:00,T7,K,6/6/2024,12:00
,MOBEAST_T8_C_2024-06-06_12:00,T8,C,6/6/2024,12:00
,MOBEAST_T9_K_2024-06-06_12:00,T9,K,6/6/2024,12:00
